jp_id,name,type,country,category,language,url,contact,relevance,why_relevant,suggested_ask,dwih_angle,status,notes
jp-jst,Japan Science and Technology Agency (JST),organization,JP,funding,ja/en,https://www.jst.go.jp/EN/,,"C","National S&T funding body. Runs JSPS KAKENHI (already cited in glucose prediction research) and the J-STAGE open-access journal platform. Targets EU as collaborative partner","Low-priority funding lead. Worth a meeting if the DWIH programme arranges institutional visits, but not a direct outreach target","DWIH network partner",uncontacted,"JST's relevance is indirect: they fund the researchers, not the study directly. JSPS KAKENHI supported glucose prediction work at Kyushu University"
jp-aist,National Institute of Advanced Industrial Science and Technology (AIST),organization,JP,research,ja/en,https://www.aist.go.jp/index_en.html,,"C","Japan's premier industrial research institution. Covers digital health, biosensors, and AI. DWIH network partner","Meeting during the DWIH trip if scheduled. AIST's biosensor and digital health divisions are tangentially relevant","DWIH network partner, likely on the Launchpad schedule",uncontacted,"Very broad institution. Identify the specific division (Health and Medical Research Institute or Information Technology and Human Factors division) before requesting a meeting"
jp-riken,RIKEN - Center for Biosystems Dynamics Research,organization,JP,research,ja/en,https://www.riken.jp/en/research/labs/bdr/,,"C","Japan's flagship research institution. The BDR centre studies life cycle from development through aging as continuous multilayered biological processes","Low-priority research contact. Worth a conversation about aging biomarkers if the trip includes Kobe (BDR is in the Kobe campus)","DWIH network partner. RIKEN BDR is in Kobe, between Tokyo and Kansai on the Launchpad route",uncontacted,"Very basic science, far from clinical. Only relevant if framing glucose prediction as a systems-biology aging phenotype"
jp-arkray,ARKRAY Inc.,company,JP,industry,ja/en,https://www.arkray.co.jp/english/,,"A","Kyoto-based manufacturer of blood glucose monitoring devices since 1960. Kyoto Laboratory is their R&D hub. ARKRAY developed Japan's first quantitative blood glucose monitoring system in 1973. Produces GLUCOCARD meters and smartphone-linked glucose management apps","Ask about data export format compatibility with Sugar-Sugar, and whether they would circulate an ethics-approved study invitation through their HCP or patient channels. Kyoto headquarters means a meeting is possible during the Kansai leg","Kyoto-based: a natural meeting during the DWIH Kansai programme. Japanese diabetes device company with 60+ years of glucose measurement history",uncontacted,"Headquarters: Kyoto Miyuki Bldg. 10F, 689 Takanna-cho, Nakagyo-ku, Kyoto 604-8153. Tel: +81-50-5830-1000. ARKRAY does BGM not CGM, but they are expanding into connected health and their HCP network in Japan is the value"
jp-terumo,Terumo Corporation,company,JP,industry,ja/en,https://www.terumo.com/,,"B","Tokyo-based medical device giant founded 1921. Was exclusive Dexcom CGM distributor in Japan until March 2024; now developing digital therapy apps for diabetes with MICIN. Their Diabetes division knows the Japanese CGM landscape intimately","Terumo no longer distributes Dexcom, so they may be looking for differentiation. Their MICIN diabetes app collaboration suggests digital health interest. Ask about the digital therapy programme and whether Sugar-Sugar's human baseline data could inform their prediction features","Tokyo-based, major medical device company with active digital diabetes projects",uncontacted,"The Dexcom distribution ended, but the institutional knowledge of the Japanese CGM user base remains. Paired with MICIN for digital therapy; that programme is the entry point"
jp-ltt,Light Touch Technology (LTT) Inc.,company,JP,industry,ja,https://www.light-tt.co.jp/product?lang=en,,"A","Osaka-based venture developing the world's first non-invasive blood glucose sensor using mid-infrared laser technology. Spun off from QST (National Institutes for Quantum Science and Technology). Tamron invested January 2026. Clinical trials beginning 2026 for medical device approval","Same framing as the non-invasive manufacturers in cgm-manufacturers-catalogue: offer to benchmark their prototype sensor traces against standard enzymatic CGM traces inside Sugar-Sugar. Non-invasive devices have a strong commercial incentive to join independent benchmarking","Osaka-based deep tech startup in medical sensing - the closest Japanese parallel to DiaMonTech in the existing CGM catalogue. Perfect DWIH deep-tech demo: a German academic study benchmarking a Japanese sensing venture",uncontacted,"Pre-commercial, so no patient export format yet. The value is the deep-tech partnership narrative for DWIH and the future benchmarking once they have clinical data. Listed on Osaka's startup ecosystem portal"
jp-cureapp,CureApp Inc.,company,JP,industry,ja/en,https://cureapp.co.jp/,,"B","Tokyo-based digital therapeutics startup. Developed prescription therapeutic apps for nicotine dependence (approved) and is building diabetes treatment support apps. Runs the DTx-BASE platform for pharmaceutical partners","Ask about their diabetes therapeutic app programme and whether human glucose prediction accuracy data would inform their behavioural intervention models","Tokyo-based health-tech with a diabetes digital therapy programme - a natural conversation partner for a study that measures human glucose prediction",uncontacted,"CureApp's diabetes app uses patient input to guide lifestyle changes. The connection is that Sugar-Sugar measures how well people actually predict glucose, which is the cognitive foundation their behaviour-change app assumes"
jp-micin,MICIN Inc.,company,JP,industry,ja,https://micin.jp/,,"C","Tokyo (Chiyoda) digital health startup. Joint diabetes treatment support system with Terumo using lifestyle data and PHR","Lower priority than CureApp or Terumo directly. The MICIN-Terumo project may be the entry point for Terumo itself","Tokyo digital health company, part of the Terumo diabetes digital therapy ecosystem",uncontacted,"CEO Seigo Hara. Approach only if the Terumo contact suggests routing through MICIN"
jp-dexcom-japan,Dexcom Japan (direct operations),company,US/JP,industry,ja/en,https://developer.dexcom.com,clinicalresearch@dexcom.com,A,"Dexcom moved to direct distribution in Japan from April 2024, ending the Terumo partnership. Japan is a priority market with expanding reimbursement. The developer portal (developer.dexcom.com) grants instant sandbox credentials","Contact the Japan office directly during the DWIH trip. Ask about local research partnerships and whether they would promote an ethics-approved prediction study to their Japanese user base","Dexcom is already in cgm-manufacturers-catalogue globally. The Japan office is a separate contact point, reachable in person during the Launchpad",uncontacted,"The global Dexcom row in cgm-manufacturers-catalogue covers the developer and clinical research channels. This row is specifically for the Japan local office and in-person meeting during DWIH"
jp-abbott-japan,Abbott Japan (FreeStyle Libre),company,US/JP,industry,ja/en,https://www.freestyle.abbott,,"B","Abbott launched FreeStyle Libre 2 in Japan in March 2024 with NHI reimbursement for all insulin users (expanded April 2022). Largest CGM installed base in Japan","Same channel as the global Abbott IIS process, but the Japan office may facilitate a local introduction. Libre is the format Sugar-Sugar already reads","In-person meeting during DWIH to discuss the Japanese Libre user base as a recruitment channel",uncontacted,"The global Abbott row already covers the IIS submission process. This is the Japan-local angle. Dr Yoshihito Atsumi at Eiju General Hospital is a named Libre advocate - a possible clinical introduction"
jp-dm-net,糖尿病ネットワーク (Diabetes Network / dm-net.co.jp),media,JP,media,ja,https://dm-net.co.jp/,,"A","Japan's longest-running diabetes information portal, online since 1996. Run by Soshinsha Co. Ltd. Publishes news, patient resources, event listings, and the 1型ライフ (Type 1 Life) section. Active on X (@dmnet_jp), Facebook (DiabetesNetwork.JP) and YouTube","Pitch a news item or event listing: an ethics-approved international study where Japanese adults can play a glucose prediction game. The 1型ライフ section is the direct fit","The single most important Japanese-language diabetes media outlet found. Their event calendar already lists YOKOHAMA VOX and similar patient events",uncontacted,"Produced by Soshinsha Co. Ltd. No direct email found in search - use the contact form on dm-net.co.jp. Also runs 糖尿病リソースガイド (dm-rg.net) for healthcare professionals"
jp-dm-rg,糖尿病リソースガイド (Diabetes Resource Guide / dm-rg.net),media,JP,media,ja,https://dm-rg.net/,,"B","HCP-facing diabetes news and resource site, sibling to dm-net.co.jp. Covers AI and digital health research in diabetes","Pitch through the professional angle: an ethics-approved study establishing the first human baseline for CGM prediction accuracy","The professional audience complements the patient audience of dm-net.co.jp. Same publisher, one pitch covers both",uncontacted,"Same publisher (Soshinsha) as dm-net.co.jp. Contact through the same channel"
jp-yokohama-vox,YOKOHAMA VOX (1型糖尿病セミナー),community,JP,advocacy,ja,https://yokohama-vox.com/,yokohama_vox@yahoo.co.jp,A,"Regular seminar series for type 1 diabetes patients in Yokohama. Group discussions cover CGM, Libre, pump therapy, daily management. The 39th meeting is upcoming in 2026","Ask to present Sugar-Sugar at a future YOKOHAMA VOX session, or to have the study shared in their community channels. The CGM discussion group is the direct audience","A patient community that already discusses CGM data and prediction in Japanese - the closest thing to a Sugar-Sugar focus group found in Japan",uncontacted,"Operations office: yokohama_vox@yahoo.co.jp. Events are listed on dm-net.co.jp. The CGM/Libre discussion group is specifically relevant"
jp-honma-taiki,本間太希 (Honma Taiki) - 1型糖尿病ランナー,person,JP,creator,ja,https://x.com/honmataiki1,,"A","1型糖尿病 runner who was diagnosed at age 25. Cycling across Japan to raise diabetes awareness. Featured on TBS NEWS DIG as a diabetes influencer. Active on X/Twitter and YouTube","Play-and-share ask: the exercise framing is the strongest hook - deciding whether to eat before a cycling day IS the next-hour prediction problem. Ask him to play a round and share his accuracy","The most visible Japanese T1D lifestyle creator found. Exercise + T1D + Japanese language is the exact intersection the study needs for Japanese recruitment",uncontacted,"Verify current follower counts before contact. The exercise angle is the same one rated highest in the existing media-catalogue for English-language creators"
jp-sena,星南 (Sena) - model/talent with T1D,person,JP,creator,ja,https://www.baqless.jp/view/page/sena,,"B","Model and talent who was diagnosed with T1D at age 18. Uses her platform to raise awareness and fight stigma against diabetes. Broader influencer reach beyond diabetes-specific audience","Referral ask: her audience is general lifestyle, not diabetes-specific, so ask her to point adult followers at the study rather than a detailed CGM walkthrough","Reaches a non-diabetes audience in Japanese, which is the non-diabetic arm of the study's recruitment",uncontacted,"Less directly on-topic than Honma Taiki but reaches people who would not otherwise encounter a glucose study"
jp-diabetes-channel,糖尿病チャンネル (Diabetes Channel),media,JP,media,ja,https://www.youtube.com/channel/UCvC9oCCM83SfFta85VIAtGA,,"A","YouTube channel run by diabetes specialists providing evidence-based medical information about diabetes in Japanese. Professional clinical voice","Pitch a feature or mention: an ethics-approved study establishing a human baseline for glucose prediction. The evidence-based framing suits their editorial standards","Professional diabetes education channel in Japanese - the clinical credibility route into Japanese YouTube",uncontacted,"Verify subscriber count and posting frequency before contact. The channel name suggests an institutional or multi-physician operation rather than a solo creator"
jp-note-sugar-days,糖と暮らし つじこ (Sugar Days / Tsujiko),person,JP,creator,ja,https://note.com/sugar_days/,,"B","Japanese patient blogger on note.com writing about daily life with Libre 2, including real measurement errors and daily management challenges. Authentic first-person CGM experience writing","Play-and-share ask: someone who writes about interpreting Libre curves is the ideal person to try predicting one. The game IS what they do every day, formalised","Patient voice with direct Libre/CGM experience writing in Japanese",uncontacted,"Small audience but high authenticity. The note.com platform is where Japanese patient bloggers tend to publish (similar to Medium)"
jp-renascience,Renascience Inc. (レナサイエンス),company,JP,research,ja/en,https://www.renascience.co.jp/en/en_business/,,"B","Tohoku University drug discovery venture focused on longevity research. CEO Keisuke Furuta. Opened TREx-Longevity Lab at Tohoku University in partnership with Northwestern University's Potocsnak Longevity Institute. Researching PAI-1 inhibitor RS5614 for aging-related conditions","Research partnership: propose Sugar-Sugar as a quick functional phenotyping tool for their longevity cohorts - glucose prediction accuracy as a cognitive-metabolic marker","Longevity biotech with academic roots - connects Anton's aging research background to the Japanese longevity ecosystem. Tohoku University is a potential institutional partner",uncontacted,"Located in Sendai (Miyagi Prefecture), not on the DWIH route, but reachable by Shinkansen from Tokyo. The longevity angle is enhancement.bio context, not direct Sugar-Sugar promotion"
jp-longevity-consortium,Japan Longevity Consortium,organization,JP,research,ja/en,https://www.longevityconsortium.jp/,,"B","Multidisciplinary alliance of scientists, clinicians, wellness innovators. Ran the 1st World Longevity Summit in Kyotango. Affiliates include Kyoto Prefectural University of Medicine, University of Osaka, Altos Labs, Mitsubishi Research Institute","Ask about presenting Sugar-Sugar at the next summit or consortium meeting. Frame glucose prediction as a functional biomarker of metabolic aging","Bridges the longevity research community with the DWIH Kansai programme. The consortium already convenes the kind of audience that would appreciate the study",uncontacted,"ops@vitalism.io is the contact for the Tokyo Longevity Summit organised by related parties. Confirm whether the consortium itself has a separate contact"
jp-phc-ascensia,PHC Holdings / Ascensia Diabetes Care,company,JP,industry,ja/en,https://www.phchd.com/,,"C","Tokyo-based healthcare conglomerate (formerly Panasonic Healthcare). Subsidiary Ascensia Diabetes Care makes Contour glucose meters and historically distributed Senseonics Eversense in certain markets","Low priority for direct Sugar-Sugar ask. PHC's diabetes care division uses BGM not CGM. Worth knowing as part of the Japanese diabetes device landscape","Tokyo headquarters, part of the DWIH industry landscape",uncontacted,"HQ: 2-38-5 Nishishimbashi, Minato-ku, Tokyo 105-8433. IR: julia.cottrill@phchd.com. Ascensia is transferring Eversense distribution back to Senseonics, so this channel is closing"
jp-vitalism-tokyo,Vitalism Foundation / Tokyo Longevity Summit,organization,JP,events,en/ja,https://www.tokyolongevitysummit.com/en,ops@vitalism.io,B,"Organises the Tokyo Longevity Summit bringing together startups, policymakers, investors and scientists. Speakers include VitaDAO representatives, Japanese VCs (Kind Capital), and longevity researchers. ~250 attendees","Ask to present or exhibit at the next Tokyo Longevity Summit. Sugar-Sugar as a citizen-science tool for measuring a human metabolic capability is a natural demo","The longevity startup event in Tokyo - connects to the DWIH deep-tech innovation narrative",uncontacted,"Contact: ops@vitalism.io. Adam Gries (Vitalism Foundation founder) and Eriko Suzuki (Kind Capital) are named speakers. The event is at Dragon Gate Hall, Shibuya Parco"
jp-efsd-jds-fellowship,EFSD-JDS Reciprocal Travel Research Fellowship,program,JP/EU,funding,en,https://www.europeandiabetesfoundation.org/workshops/59-european-foundation-study-diabetes-efsd-and-japan-diabetes-society-jds-reciprocal,,"A","Bilateral programme between the European Foundation for the Study of Diabetes and the Japan Diabetes Society supporting travel for diabetes research collaboration between Europe and Japan","Apply or explore eligibility: a German PI visiting Japanese diabetes research groups to present a human-baseline study and discuss data collaboration is exactly the programme's purpose","The single most structurally aligned funding mechanism found. It exists to put European diabetes researchers in Japanese labs and vice versa",uncontacted,"Check current application deadlines and eligibility at europeandiabetesfoundation.org. The fellowship covers travel, which could overlap with or extend the DWIH trip"
