mfr_id,name,country,tier,market_share,products,reachability,contact_emails,website,portals,why_relevant,suggested_ask,phase,status,notes
yuwell,Jiangsu Yuwell Medical Equipment,China,3,<0.5%,"Anytrans CGM, CT3 (enzymatic, 14-day wear)",Moderate,overseas@yuwell.com (international trade); annie@yuwellanytime.co.uk (UK),https://www.yuwell.com,yuwell.com,Large diversified conglomerate; the CGM R&D division sits behind the international trade division.,Low priority. Route through overseas@yuwell.com and expect to be redirected.,3 (months 3-6),uncontacted,Retail rebranding is common here - identify the underlying manufacturer and file format rather than chasing a corporate endorsement.
poctech,Zhejiang POCTech Co.,China,3,<0.5%,"CT-100, POCTech CGM (enzymatic, 7-14 day wear)",Moderate,info@poctech.com; sales@poctech.com,https://www.poctech.com,poctech.com,Lean specialist sensor developer with no developer portal.,"Direct sales or management mailbox, or meet them at ADA/EASD.",3 (months 3-6),uncontacted,Conference contact may work better than email.
diamontech,DiaMonTech AG,Germany,4,Pre-commercial R&D,"D-Pocket, D-Sensor (mid-infrared photothermal spectroscopy, non-invasive)",Very Easy,news@diamontech.de; ir@diamontech.de,https://www.diamontech.de/en/,diamontech.de/en/,"Non-invasive sensing venture with a flat structure - mail sent to the corporate inbox is read by the founders, CMO or VP Clinical Affairs within days. These companies have a strong commercial incentive to join independent benchmarking, because non-invasive optical, radiofrequency and microneedle systems must keep proving accuracy against enzymatic gold standards. German deep-tech, which pairs with the Rostock affiliation.",Offer to benchmark their prototype sensor traces against standard enzymatic traces inside the Sugar-Sugar interface.,1 (weeks 1-4),uncontacted,German company plus German ethics approval is a natural opening line.
afon,Afon Technology Ltd.,United Kingdom,4,Pre-commercial R&D,"Glucowear (radiofrequency/microwave dielectric sensing, non-invasive wearable)",Very Easy,info@afontechnology.com; hello@ojpr.co.uk (press),https://afontechnology.com,afontechnology.com,"Non-invasive sensing venture with a flat structure - mail sent to the corporate inbox is read by the founders, CMO or VP Clinical Affairs within days. These companies have a strong commercial incentive to join independent benchmarking, because non-invasive optical, radiofrequency and microneedle systems must keep proving accuracy against enzymatic gold standards. Actively seeks clinical trial participants, academic evaluation and research collaborations.","Benchmarking offer, same framing as DiaMonTech.",1 (weeks 1-4),uncontacted,
knowlabs,"Know Labs, Inc.",USA,4,Clinical investigation,"Bio-RFID (radiofrequency dielectric spectroscopy, non-invasive)",Very Easy,trials@knowlabs.co (clinical trial team); info@knowlabs.co,https://knowlabs.co/trials,knowlabs.co/trials,"Non-invasive sensing venture with a flat structure - mail sent to the corporate inbox is read by the founders, CMO or VP Clinical Affairs within days. These companies have a strong commercial incentive to join independent benchmarking, because non-invasive optical, radiofrequency and microneedle systems must keep proving accuracy against enzymatic gold standards. Runs a dedicated clinical trials portal with a mailbox set up explicitly to intake clinical studies and algorithmic benchmarking.",Email trials@knowlabs.co - the mailbox exists for exactly this kind of proposal.,1 (weeks 1-4),uncontacted,The most explicitly open intake of any manufacturer here.
pkvitality,PKvitality,France,4,Clinical investigation,K'Watch Glucose (microneedle continuous interstitial fluid sensor),Easy to Moderate,contact@pkvitality.com; info@amcrinstitute.com (clinical trial lead),https://www.pkvitality.com,pkvitality.com; EU CORDIS grant ID 960071,"Non-invasive sensing venture with a flat structure - mail sent to the corporate inbox is read by the founders, CMO or VP Clinical Affairs within days. These companies have a strong commercial incentive to join independent benchmarking, because non-invasive optical, radiofrequency and microneedle systems must keep proving accuracy against enzymatic gold standards. EU Horizon EIC Accelerator funded and described as highly receptive to digital health benchmarking - and an EU grant history makes a joint European proposal plausible.",Approach corporate or the AMCR Institute clinical trial operation; also worth exploring as a co-applicant on an EU call.,1 (weeks 1-4),uncontacted,
nemaura,"Nemaura Medical, Inc.",USA / UK,4,<0.5%,"sugarBEAT, proBEAT (transdermal reverse iontophoresis patch, daily non-invasive)",Easy,IR@NemauraMedical.com; dave@redchip.com; julesa@coreir.com,https://nemauramedical.com,nemauramedical.com,"Non-invasive sensing venture with a flat structure - mail sent to the corporate inbox is read by the founders, CMO or VP Clinical Affairs within days. These companies have a strong commercial incentive to join independent benchmarking, because non-invasive optical, radiofrequency and microneedle systems must keep proving accuracy against enzymatic gold standards. Open direct executive and investor contact routes, and actively seeking third-party validation studies.",Direct approach to investor relations offering independent validation.,1 (weeks 1-4),uncontacted,Contact routes are investor-relations rather than clinical - pitch the validation value.
infinovo,Infinovo Medical (Glunovo),China,3,<0.25%,Glunovo D3 / p3 CGM systems and associated apps and data-sharing tools,Easy,info@infinovo.com; nasir@infinovo.com; chengqian@infinovo.com,https://www.infinovo.com,Infinovo Medical on LinkedIn and Facebook,"Named in the second report as a second-wave target. Glunovo has appeared in recent clinical research including randomised and residual-bound accuracy studies, which makes their traces scientifically interesting rather than just another format.",Multiple human-routable emails - start with info@infinovo.com and ask about export format and a de-identified sample file.,2 (weeks 4-12),uncontacted,"Second report only. Distributor availability varies by country and no global exclusivity was identified, so approach the company directly."
biolinq,"Biolinq, Inc.",USA,4,<0.1% (launch stage),"Biolinq Shine - intradermal glucose-sensor patch with an integrated visual display, no phone required. FDA De Novo classification September 2025",Unspecified - no published contact email,Not published. Route through company leadership or management.,,Official company news channels,"High strategic relevance despite tiny share. Positioned at metabolic health and non-insulin users, which overlaps the broader population interested in glucose prediction - the same non-diabetic arm the study recruits. A display-on-patch device also changes what a user sees, which is directly relevant to a study about human forecasting.","Ask about future data export. Expect launch-execution focus and controlled messaging, so keep the request small.",3 (months 3-6),uncontacted,Second report only. No direct contact email published - this is the main obstacle. No website or contact email was given in either source report - find the official site before contacting.
glucotrack,"Glucotrack, Inc.",USA,4,"0% - investigational, no commercial approval",Continuous blood-glucose monitoring system designed for multi-year operation (long-duration implantable),Hard to Moderate,investors@glucotrack.com,https://www.glucotrack.com,Glucotrack on LinkedIn,"Not commercially distributed, so no recruitment value. Relevant only as a long-duration implantable question alongside Senseonics, and development-stage data may be confidential.","Ask to be routed to clinical or scientific leadership. Realistically a future extension of the study, not this one.",3 (months 3-6),uncontacted,Second report only. Lowest priority in the file - listed so it is not rediscovered as a lead.
